,Name,Price,Shadow,Location,Total time,Start Time,End Time,Peak time,Island Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
,Bitterling,900,Shortest,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,4a-9p,,2,2,0,0,0,0,0,0,0,0,2,2,,
,Pale Chub,200,Shortest,River,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,3,3,3,3,3,3,3,3,3,3,3,3,,"KEY:

x  -  under a month means the creature is available.
xx  -  under a month means the creature is more common.
*  -  next to a time means the creature is more common.
/  -  creature can be found during the last half of the month."
,Crucian Carp,120,Short,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,9a-4p,,2,2,2,2,2,2,2,2,2,2,2,2,,
,Dace,200,Medium,River,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,,1,1,1,2,2,2,2,2,2,2,1,1,,
,Barbel Steed,200,Medium,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,2,2,1,2,2,2,2,2,2,1,1,2,,
,Carp,300,Long,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,4a-9p,,2,2,2,1,1,1,1,2,2,1,1,2,,
,Koi,4000,Long,River,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,,4,4,4,4,4,4,4,4,4,4,4,4,,
,Goldfish,1300,Shortest,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,4,4,4,4,4,4,4,4,4,4,4,4,,
,Pop-eyed Goldfish,1300,Shortest,River,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,4,4,4,4,4,4,4,4,4,4,4,4,,
,Killifish,300,Shortest,Small Pond,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,0,0,0,3,3,3,3,3,0,0,0,0,,
,Crawfish,200,Short,Small Pond,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,0,0,0,1,1,1,1,1,1,0,0,0,,0 - not available
,Soft-shelled Turtle,3750,Medium,River,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,,0,0,0,0,0,0,0,4,4,0,0,0,,1 - common
,Tadpole,100,Shortest,Small Pond,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,0,0,3,3,3,3,3,0,0,0,0,0,,2 - fairly common
,Frog,120,Short,Small Pond,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,0,0,0,0,1,1,1,1,0,0,0,0,,3 - uncommon
,Freshwater Goby,300,Short,River,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,,4,4,4,3,3,3,3,3,3,4,4,4,,4 - scarce
,Loach,300,Short,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,9a-4p,,0,0,1,1,1,0,0,0,0,0,0,0,,5 - rare
,Catfish,800,Long,Lake,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,9p-4a,,0,0,0,0,2,2,2,2,2,2,0,0,,
,Eel,2000,Long and Thin,River,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,9a-4p,,0,0,0,0,0,2,2,2,2,0,0,0,,
,Giant Snakehead,5500,Very Long,Lake,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,0,0,0,0,0,4,3,3,0,0,0,0,,
,Bluegill,120,Short,River,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,3,3,3,3,3,3,3,3,3,3,3,3,,
,Yellow Perch,240,Medium,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,2,2,2,0,0,0,0,0,0,2,2,2,,
,Black Bass,300,Long,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,1,1,1,1,1,1,1,1,1,1,1,1,,
,Pike,1800,Very Long,River,17, 1 Jan 2018 4:00 GMT, 1 Jan 2018 21:00 GMT,,,0,0,0,0,0,0,0,0,3,3,3,3,,
,Pond Smelt,300,Short,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,1,1,0,0,0,0,0,0,0,0,0,1,,
,Sweetfish,900,Medium,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,0,0,0,0,0,0,2,2,2,0,0,0,,
,Cherry Salmon,1000,Medium,River,14, 1 Jan 2018 4:00 GMT, 1 Jan 2018 9:00 GMT,,,0,0,3,3,3,3,0,0,3,3,3,0,,
,Char,3800,Medium,Waterfall,14, 1 Jan 2018 4:00 GMT, 1 Jan 2018 9:00 GMT,,,0,0,3,3,3,3,0,0,3,3,3,0,,
,Rainbow Trout,800,Long,River,14, 1 Jan 2018 4:00 GMT, 1 Jan 2018 9:00 GMT,,,0,0,2,2,2,2,0,0,2,2,2,0,,
,Stringfish,15000,Longest,River,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,,5,5,0,0,0,0,0,0,0,0,0,5,,
,Salmon,700,Long,River Mouth,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,0,0,0,0,0,0,0,0,1,0,0,0,,
,King Salmon,1800,Longest,River Mouth,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,0,0,0,0,0,0,0,0,4,0,0,0,,
,Mitten Crab,2000,Short,River,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,,0,0,0,0,0,0,0,0,4,4,4,0,,
,Guppy,1300,Shortest,River,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,0,0,0,4,4,4,4,4,4,4,4,0,,
,Nibble Fish,1500,Short,River,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,0,0,0,0,4,4,4,4,4,0,0,0,,
,Angelfish,3000,Short,River,17, 1 Jan 2018 16:00 GMT, 1 Jan 2018 9:00 GMT,,,0,0,0,0,4,4,4,4,4,4,0,0,,
,Neon Tetra,500,Shortest,River,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,0,0,0,3,3,3,3,3,3,3,3,0,,
,Piranha,2500,Short,River,14, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,0,0,0,0,0,4,4,4,4,0,0,0,,
,Arowana,10000,Long,River,17, 1 Jan 2018 16:00 GMT, 1 Jan 2018 9:00 GMT,,,0,0,0,0,0,5,5,5,5,0,0,0,,
,Dorado,15000,Very Long,River,17, 1 Jan 2018 4:00 GMT, 1 Jan 2018 21:00 GMT,,,0,0,0,0,0,5,5,5,5,0,0,0,,
,Gar,6000,Longest,Lake,17, 1 Jan 2018 16:00 GMT, 1 Jan 2018 9:00 GMT,,,0,0,0,0,0,4,4,4,4,0,0,0,,
,Arapaima,10000,Longest,River,17, 1 Jan 2018 16:00 GMT, 1 Jan 2018 9:00 GMT,,,0,0,0,0,0,0,4,4,4,0,0,0,,
,Saddled Bichir,4000,Long,River,7, 1 Jan 2018 21:00 GMT, 2 Jan 2018 4:00 GMT,,,0,0,0,0,0,4,4,4,4,0,0,0,,
,Sea Butterfly,1000,Shortest,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,3,3,0,0,0,0,0,0,0,0,0,3,,
,Sea Horse,1100,Shortest,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,4a-9p,"All Year, All Day",0,0,0,3,2,2,2,2,2,2,3,0,,
,Clown Fish,650,Shortest,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",0,0,0,3,2,2,2,2,3,0,0,0,,
,Surgeonfish,1000,Short,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",0,0,0,3,3,3,3,3,3,0,0,0,,
,Butterfly Fish,1000,Short,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,0,0,0,3,3,3,3,3,3,0,0,0,,
,Napoleonfish,10000,Longest,Ocean,17, 1 Jan 2018 4:00 GMT, 1 Jan 2018 21:00 GMT,,"All Year, All Day",0,0,0,0,0,0,4,4,0,0,0,0,,
,Zebra Turkeyfish,400,Medium,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",0,0,0,2,2,1,1,1,2,2,2,0,,
,Blow Fish,125,Medium,Ocean,7, 1 Jan 2018 21:00 GMT, 2 Jan 2018 4:00 GMT,,,4,4,0,0,0,0,0,0,0,0,4,4,,
,Puffer Fish,240,Medium,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",0,0,0,0,0,0,3,3,3,0,0,0,,
,Horse Mackerel,150,Short,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",1,1,1,1,1,1,1,1,1,1,1,1,,
,Barred Knifejaw,5000,Medium,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",0,0,4,4,4,4,4,4,4,4,4,0,,
,Sea Bass,200,Very Long,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",1,1,1,1,1,1,1,1,1,1,1,1,,
,Red Snapper,3000,Medium,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",3,3,3,3,3,3,3,3,3,3,3,3,,
,Dab,300,Medium,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,2,2,2,2,0,0,0,0,0,2,2,2,,
,Olive Flounder,800,Long,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",3,3,3,3,3,3,3,3,3,3,3,3,,
,Squid,400,Medium,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",2,2,2,2,2,2,2,2,0,0,0,2,,
,Moray Eel,2000,Very Long,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",0,0,0,0,0,0,0,3,3,3,0,0,,
,Ribbon Eel,600,Long and Thin,Tropical Island,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",3,3,3,3,3,3,3,3,3,3,3,3,,
,Football Fish,2500,Long,Ocean,17, 1 Jan 2018 16:00 GMT, 1 Jan 2018 9:00 GMT,,,3,3,3,0,0,0,0,0,0,0,3,3,,
,Tuna,7000,Longest,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,4,4,4,0,0,0,0,0,0,0,4,4,,
,Blue Marlin,10000,Longest,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,"All Year, All Day",0,0,0,0,0,0,4,4,4,0,0,0,,
,Giant Trevally,4500,Very Long,Tropical Island,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,4,4,4,4,4,4,4,4,4,4,4,4,,
,Ray,3000,Very Long,Ocean,17, 1 Jan 2018 4:00 GMT, 1 Jan 2018 21:00 GMT,,"All Year, All Day",0,0,0,0,0,0,0,4,4,4,4,0,,
,Ocean Sunfish,4000,"Longest, Fin",Ocean,17, 1 Jan 2018 4:00 GMT, 1 Jan 2018 21:00 GMT,,"All Year, All Day",0,0,0,0,0,4,4,4,4,0,0,0,,
,Hammerhead Shark,8000,"Longest, Fin",Ocean,17, 1 Jan 2018 16:00 GMT, 1 Jan 2018 9:00 GMT,,"All Year, All Day",0,0,0,0,0,4,4,4,4,0,0,0,,
,Shark,15000,"Longest, Fin",Ocean,17, 1 Jan 2018 16:00 GMT, 1 Jan 2018 9:00 GMT,,"All Year, All Day",0,0,0,0,0,4,4,4,4,0,0,0,,
,Saw Shark,12000,"Longest, Fin",Ocean,17, 1 Jan 2018 16:00 GMT, 1 Jan 2018 9:00 GMT,,"All Year, All Day",0,0,0,0,0,4,4,4,4,0,0,0,,
,Whale Shark,13000,"Longest, Fin",Tropical Island,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,4,4,4,4,4,4,4,4,4,4,4,4,,
,Oarfish,9000,Longest,Ocean,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,4,4,4,4,4,0,0,0,0,0,0,4,,
,Coelacanth,15000,Longest,Ocean during rain or snow,17, 1 Jan 2018 16:00 GMT, 1 Jan 2018 9:00 GMT,,,5,5,5,5,5,5,5,5,5,5,5,5,,